team_name,team_bio
Duke & Lauren,"
Duke & Lauren are a father and daughter Team from Rhode Island who were estranged for several years following Lauren's ""coming out."" Both were hurt and disappointed by the experience and hope that running the Race together can help them recapture the closeness they once shared.
Duke, a father of three, is the owner and operator of a successful company called My Little Town, which makes New England icons in miniature porcelain. A Harley Davidson motorcycle enthusiast, Duke loves his family and both he and Lauren share the belief that they must win at anything they do, including THE AMAZING RACE.
Lauren, a speech and language pathologist, is a lesbian who has been involved in a relationship for four years. She enjoys hiking, running and rock climbing and has a competitive streak that should help her along the way. Her primary motivation for competing on the Race is to bond with her father and prove to him that she is still the same person she always was.[1]
"
Dustin & Kandice,"


The Amazing Race 10The Amazing Race: All-Stars
Dustin & Kandice met while rooming together at the Miss America pageant. Rivals at first, they quickly struck a bond and have been best friends ever since. 
Dustin was Miss California 2005 and is currently living in Seattle, Washington as a graduate student studying psychology. The more thoughtful and strategic of the two, Dustin describes herself as competitive, energetic and positive. She enjoys Ultimate Frisbee at the beach and body boarding with friends. 
Kandice, who was Miss New York 2005, is a Rockette at Radio City Music Hall in New York City. She describes herself as charismatic, determined and vivacious, and likes dancing, running and doing Pilates in her spare time. Kandice's free-spirited approach towards situations will be tested on the Race, where split-second decisions can be the difference between staying another day and putting away your passport. 

Despite their personality differences, these two women share one common characteristic that could prove costly for the other Teams: they are wildly competitive and determined to win at any cost. Their primary reason for competing on the Race is to see the world and share this experience with one another.[1]
These former Beauty Queens are back for a second chance and more determined than ever to prove to the world that they aren't just pretty faces. Proven to be fierce competitors during this current installment of Race, Dustin and Kandice are focused and have their sights on the Million Dollar Prize. These Best Friends met while rooming together at the Miss America pageant in 2005 and quickly formed a bond that they knew would last a long time. Dustin graduated Magna Cum Laude from California Baptist University with a BA in Speech Communications. She recently married her long-time sweetheart Luke. This Newlywed, who was crowned Miss California 2005, currently resides in Seattle, Washington and describes herself as thoughtful and spunky. Kandice, former Miss New York 2005, is a Rockette at Radio City Music Hall and in her senior year at New York University. She describes herself as charismatic, determined and vivacious and is positive that they can be the first all girl Team to win Amazing Race. These two women share one common characteristic that could prove costly for the other Teams on the Race: they are wildly competitive and more determined than ever to win at any cost. Will these beauties be able to prove to themselves and the world that they have what it takes to win the Million Dollar Prize?[2]
"
Elizabeth & Iliana,"[1]
 Mother & daughter
 52 & 27
 Retired lieutenant & Entrepreneur
 Tampa, FL

 I think the most important skill is paying attention to detail. Definitely reading all of the clues and keeping track of everything that way. Also keeping track of everything along the way.
 I agree 100% It's that kind of calm in the storm. You have to kind of regroup and just keep it together for a few seconds. Read the clue thoroughly and just be really detailed.

 Hmm…no one. [Laughs.]
 Not many mother/daughters that lasted in the race. But I love Rachel's energy. I don't know her last name, but I do love her energy. And we have that.
 [Simultaneously] We're not whiny! [Laughs.]
 But we definitely have that energy. She was always ready to go.
 Yeah she was ready to go and stop and do anything she had to do.
 She didn't care what she had to do.
 I mean she came top three in every final she's been on. So that's amazing in itself.

 Her trait that I do not possess is patience. [Laughs.]
 [Laughs.] Yes.
 I don't have the patience that she has.
 Which we're gonna work on together! [Laughs.] Thank you. A trait that she has that I do not possess is she is very aware of her surroundings. She's always looking up. She always knows what's going on. Sometimes I'm like…[Sings and looks off in the distance.] She's always very aware.
"
Elliot & Andrew,"
Elliot[] 28
 Scottsdale, Arizona
 Twin Brother
 Musician
 I'm a singer/songwriter based out of Phoenix, Arizona.
 Music is a universal language and it's very competitive. I will take my aspirations for music and life, and use them to race for first.
 Competitive, passionate and loyal.
 Music, soccer and working out.
 Tommy Lee
 Sean Connery
 Finishing my last record. It was a grueling process, but a great product. Be on the look out for it in spring 2012.
 Nothing much, but I guess not having a parachute.
 The unexpected in terms of culture and people…I love to people watch.
 He doesn't stick up for himself enough.
 I would love to go to Australia.
 I hope my brother and I will grow even closer and begin many new chapters in our lives personally and together.
Andrew[] 28
 Menlo Park, California
 Twin Brother
 MLS player
 I am a professional goal keeper in Major League Soccer. Day in and day out I train and compete to keep my skills up so that I am ready for the season beginning to end.
 Being an athlete I am always pushing myself and my teammates to be the best. Having this mindset and attitude allows me to put my team in a position to be successful.
 Confident, humble and level.
 I enjoy playing with my dog, Harley, going to concerts and outdoor activities such as hiking, body boarding, etc.
 Professional soccer player Iker Casillas
 Brandon Boyd (from the rock group ""Incubus"")
 Becoming a professional athlete.
 Nothing really scares me about traveling. Long trips can get irritable but I manage. It's part of my job. I guess at times it can get uncomfortable/frustrating if you are in a country where you don't speak the language or are not able to communicate with the locals.
 Seeing the world and experiencing all the different cultures across the globe.
 I feel that we communicate very well. But I hope we can get past the times when we are dishonest with each other. With both of us being super competitive there are times where we want to do things ""my"" way instead of doing it together or ""our"" way.
 He has a short fuse at times and like me, he can be impulsive without thinking thing through. There are circumstances where he doesn't put himself first. He doesn't practice what he preaches. He needs to stop making the same mistakes.
 I would love to venture to the beaches of Thailand because they are amazing. I love the water and the photos look exotic.
 I hope it can bring us together and make our bond that much stronger. Hopefully we can work through some of the things that we need to sort out in our relationship i.e. work more for each other and not as individuals. Win or lose he is my best friend and we'll always have each other's back.[1]
"
Emily & Molly,"[1]
Emily Bushnell and Molly Sinert, long-lost twins from Ardmore, Pennsylvania and Palm Beach Gardens, Florida, respectively.
Emily, 36, is a law firm admin. Molly, also 36, is a healthcare admin. The twins were separated at a young age when they were adopted to separate places from South Korea decades ago. They just met a year ago after a DNA test brought them back together, and they're looking to make up for lost time. And those years apart has had them lead completely different lifestyles, with Molly growing up as a dancer and Emily currently a single mom.
"
Eric & Daniel,"[1]
Eric[] Eric Guiffreda
 33
 @Eguiffreda
 Ponchatoula, Louisiana
 Firefighter/Paramedic at Gonzales Fire Department
 Respond to any type of emergency call, medical emergencies, fires, car wrecks, and any rescue. I provide treatment and care to the injured and eliminate hazards.
 Focused, loyal, and corny.
 Hunting, traveling, and spending as much time as possible with my wife and two daughters.
 Graduating as an honor graduate from Marine Corps Boot Camp and my two daughters. They are everything to me.
 Nothing about travel scares me. I enjoy everything about it.
 The unknown, the newness of each place, meeting different kinds of people, being away from the normal routine of life, and the feeling of freedom to see and try new things. And, no cell phones.
 I would love to visit Switzerland and see the Swiss Alps! They look awesome from pictures and to be able to ski and stay in a remote place on top of mountains.
 Awesome once-in-a-lifetime memories we will have forever and be able to share with our children as well as growing ever closer as we overcome new types of challenges and situations.
Daniel[] Daniel Guiffreda
 33
 Gonzales, Louisiana
 Firefighter/Paramedic
 I put the wet stuff on the hot stuff and when people are hurt I stabilize and transport them.
 Loyal to family, ambitious, and committed.
 Camping, reading, and time with family outdoors.
 Being a husband and a dad. My family means more than any of the other things I have invested time in accomplishing. Second would probably be finishing paramedic school. It was brutal.
 Seeing awesome places and engaging with other cultures. It's so nice to get outside of the same familiar box and experience new things.
 Palermo, Sicily. It is where my great grandparents came from and there is so much history there.
 A chance to reconnect [with Eric] outside of the work environment, (we work at the same place) and put everything we have into accomplishing the same goal.
"
Eric & Danielle,"
This unique duo met while Racing against each other during Season 9. During their travels, they developed a bond which transpired into a romance and the two have been dating for the past year. Eric, who had partnered with Jeremy during his first Race around the world, finished in 2nd place to the Hippies while Danielle, who ran the Race with her best friend Dani, were the 4th team ousted. This time around, Eric and Danielle are going to combine their efforts using strengths from their former teammates as they forge this new partnership hoping they have what it takes to Race with the best of them.
Danielle remains in Staten Island where she works as a bartender while finishing her Master's Degree in Education. Eric, who works as a waiter, enjoys his laid-back lifestyle and lives on the beach in Florida.
Will the combination of this big-city girl and self-proclaimed ""beach bum"" be a viable force to reckon with or will the other Teams discount this new pair who has never before raced together as Team?[1]
"
Eric & Jeremy,"
Jeremy & Eric, best friends from Fort Lauderdale, Florida, met while running college track at Johnson County Community College. Both are admittedly cocky, very competitive and strong athletes. They are avid volleyball players who frequently compete in local tournaments.
Sarcastic and patient, Jeremy is well-traveled and ready for the adventure of a lifetime. He works as a valet and is hoping the Race will help him to make something of his life.
Eric, who works as a waiter and a bartender, has little experience traveling outside of the United States. A two-time NJCAA Track and Field All American in the pole vault, Eric describes himself as being athletic and outgoing. His biggest pet peeve about his teammate is that Jeremy won't take criticism.
The former collegiate athletes hope their physical abilities will help carry them past the competition to the $1 million prize.[1]
"
Eric & Lisa,"
Eric Paskel (41); Lisa Paskel (43)
 Encino, Calif. via Michigan
 Yoga Studio Owners and Instructors
 Married Yoga Teachers
Eric and Lisa have been married for over 18 years. Both are vegans who have a passionate and fiery approach to their personal and professional lives and are extremely dedicated to helping others.
Eric and Lisa own four yoga studios and both serve as instructors. In addition to running their business, they teach classes and workshops where they deal with issues such as family crisis and addiction. Lisa describes what she does as, ""helping people connect to their supreme self.""
Lisa claims that Eric is much more easy-going, carefree and trusting of others while she has the ability to see people for what they really are — an ability that will undoubtedly come in handy on the Race.
Neither Eric nor Lisa are afraid to challenge one another to be the best people they can be and no matter the challenge at hand, both are open to working together to find a solution. They hope that their experience on the Race will further solidify a marriage that they consider a true blessing.
They reside in Encino, Calif., and have two daughters.[1]
"
Erin & Joslyn,"[1]
Erin[] Erin Robinson
 31
 @HeyErinRobinson
 HeyErinRobinson
 www.youtube.com/ErinsReality, www.youtube.com/ClevverNews, www.youtube.com/ClevverStyle, www.youtube.com/ClevverMovies and www.youtube.com/ClevverTV
 On socials - 100K Clevver Channel subscribers: over 6 million
 St. Pauls, N.C.
 Work Wives and BFF's
 Producer and Host at Clevver (Defy Media)
 Cover celebrity and entertainment news and express my weirdness for the world to enjoy.
 Unpredictable, joyful and eccentric.
 Traveling, singing, cooking, public speaking and Instagram (duh).
 Being able to help build Clevver into one of the most viewed entertainment channels online! Being the first Lumbee Indian on The Amazing Race! And marrying THE MOST amazing man on the planet.
 Getting an incurable disease and also falling in love with a place that I will never want to leave! I am looking at you Ireland.
 Trying delicious new foods AND meeting our fans from all over the world who watch our shows!
 Our size. We're tough girls but we're worried about being able to beat guys who are taller and stronger!
 There are very few peeves, but she does drool a lot and she is THE MOST OVERLY POSITIVE PERSON EVER. But I also love that about her too.
 Africa. I want to visit an elephant rescue and hug and kiss elephants! And I would definitely cry... TEARS OF JOY... if that happened.
 Making memories with Joslyn that we can tell our kids about. Also, I want to push myself out of my comfort zone. I was raised as a pioneering country girl, and I need to get back to my roots!
Joslyn[] Joslyn Davis
 33
 @JoslynDavis
 JoslynDavis
 www.youtube.com/ClevverNews, www.youtube.com/ClevverStyle, www.youtube.com/ClevverTV and www.youtube.com/MissJoslynDavis
 joslyndavis www.joslyndavis.com
 Clevver has nearly 8 million across all platforms, while I personally have approximately 100,000. This includes all YouTube and social media.
 Downey, Calif.
 BFFLs and co-workers
 Executive Producer/Host/Influencer
 I executive produce and host (and oftentimes write) daily entertainment news and lifestyle/beauty content at Clevver, the number one entertainment news outlet on YouTube. We pull in approximately 150 million views every month!
 Compassionate, optimistic and gregarious. (And weird - that's a bonus)
 Travel (duh), going to concerts and anything adventurous and outdoors.
 Professionally, the accomplishment I'm most proud of is being at Clevver since day one, helping to build the company and the brand and taking our channels from zero to 3 plus billion views! Personally, I'm most proud of the fact that I'm responsible for naming a color for Crayola - it's called ""Tickle Me Pink."" I was 12. True story! HAHA! I think I need to accomplish something else...
 This is not a cop-out but there's really nothing that scares me about traveling. Sometimes what seems like the biggest set-back on a trip becomes the best adventure!
 In my career, I get paid to talk to and observe people, and that really what I'm passionate about. That said, it's not too surprising that when I'm traveling to a new place, I'm usually most excited by the local people - what they love, what they eat, how they interact, ALL of it!
 There's NO challenge we're afraid of (we're not absolutely NOT timid), but if I had to pick I'd say the biggest challenges we'll probably face will be physical. Don't get me wrong, we're in tip-top shape, but we know we don't have the same strength as some of the guy-guy teams.
 I love Erin, but the girl cries ALL THE TIME - when she's happy, when she's sad, when it's sunny, when something funny happens. I guess it's a pet peeve, but I also love that about her!
 I would LOVE to go anywhere in South America or Africa. As far as specific countries and cities go, I'm very open! Is going everywhere an option?
 I hope to have the time of my life on the Race and enjoy every single second! I realize this is an experience of a lifetime and I'm so grateful to be on the Race. But this is a RACE, so I also hope to kick some serious a$$ and hold it down for all the girls out there watching!
"
Ernest & Jin,"[1]
Ernest[] 29
 Boston (currently living in Burlington, Vt.)
 Brother
 Dance Instructor, hotel maid /stock boy, homecare provider for brain trauma patients and certified personal trainer.
 I'm a hustler and I have multiple jobs to help me reach my goals in the entertainment industry.
 Unique, sexy and athletic.
 Paintballing, fitness and dance.
 My fitness goals.
 Lil Wayne
 Blanka from Street Fighter
 Germs and being late.
 Seeing exotic women and food.
 I would like to address the issue of him thinking he is always right about everything.
 He's always farting and spitting.
 Spain, because of the women and food.
 I hope to gain that same trust and bond we had when we were little.
 @mreknock
Jin[] 26
 Boston, Mass.
 Brother
 Student/stock boy
 I am in school for filming and photography
 Clever, calm and seductive.
 Parkour, video games and film-making.
 My favorite accomplishment was my ranking in the  video game - 25th in the world!
 Captain Jack Sparrow and The Hulk mixed together with a little Jet Li, on the side.
 Eddie Murphy and Terry Crews mixed together.
 Getting lost.
 Filming the adventures that lie ahead.
 I don't think we have any and I'm pretty sure I'm right because I always am.
 His cockiness and the way he always lets women get in the way.
 China, because Jet Li is there.
 To show my big brother that the dramatic, extreme way is always the right way.
"
Ernie & Cindy,"[1]
Ernie[] 29
 Chicago
 Engaged
 Project Manager
 I project manage new printing press installations for commercial and sheetfed printers in North America. I bring the sold contract to life by integrating project team members from design, manufacturing and installation, all while being the single point of contact for my customer.
 I frequently delegate tasks and have the ability to optimize work by utilizing a person's skill sets. The majority of my job is dealing with time-critical, problem-solving tasks that require urgent responses and decisions.
 Loyal, comical and energetic.
 Traveling, no glove 16"" softball, graphic design and origami. 
 Ty Pennington
 Lucy Liu
 I moved to Germany by myself and lived for a year without ever traveling outside of the U.S. prior and without having any knowledge of the local language. I even joined a German baseball team and made some lifelong friendships.
 Lawless regions where foreigners are not highly regarded. 
 Interacting with people and cultures different from my own. Also, getting to experience different sights, smells and tastes that you cannot reproduce outside of the specific country. 
 I have a roundabout way of explaining my point and my direction can be vague.
 Planning – Cindy loves to plan every aspect of our lives and sometimes it can be overwhelming.
 DPRK/North Korea because so much is unknown about it. I've seen videos of the LAS5 AriRang, which is a great gymnastics and performance display by more than 100,000 North Koreans. I feel this would be an incredible culture shock that I want to see and understand.
 I want to share this once in a lifetime experience of The Race with my fiancé. If we do win, we will have a nice footing to start our social business venture that will be intertwined with the needs that we see around the world.
Cindy[] 30
 Chicago
 Engaged
 Brand Manager
 I lead a cross-functional brand team. This includes everything from brand strategy, new products, team development, financial management to sales and marketing.
 Through my corporate job, I have been faced with challenging adversity, taking calculated risks and making quick informed decisions. My job is also highly competitive and you must have a strong desire to win with solid performance. All of these skills are vital to winning The Race and I'm confident I can bring it to win it.
 Determined, dedicated and passionate.
 Exercising, cooking, and planning. I like to plan anything and everything.
 I'm told that I'm a replica of Lucy Liu, but I would like to be similar to Lauren Conrad from ""The Hills."" She is very entrepreneurial, highly accomplished, likeable and friendly.
 Zach Morris from ""Saved By The Bell."" Ernie loves to be the center of the action and he's a big jokester.
 I was crowned Homecoming Queen at my undergraduate university.
 Lack of control – I'm gluten-free and it can often be a challenge to find suitable foods in new locations, especially places where there's a language barrier.
 I love meeting local people and understanding more about their culture and daily rituals. I find it fascinating that we are all humans, but have very different ways of living a happy life.
 Ernie needs to be more direct with me. He is so easy going that he goes along with what I want, but I don't know if that's really what he wants.
 He's a really happy-go-lucky person with a positive attitude and outlook on life, but for some crazy reason he always gives me some round-about answer to any of my questions.
 India! I love the rich culture and history of India. I would love to see the Taj Mahal, explore the 'triangle' and see the white sandy beaches of Goa.
 I hope we will learn a lot about each other through this process. Our goal is to become entrepreneurs together and The Race will give us a solid opportunity to test our working relationship and see if we can actually work together.
"
Erwin & Godwin,"
Erwin & Godwin are super competitive brothers from San Francisco, California. Although they are both overachievers, Godwin feels that he grew up in the shadow of his ""perfect"" Harvard-educated older brother. He believes the Race will provide a great opportunity for him to showcase his talents and prove that he is as capable as Erwin.
Erwin, a manager for an insurance company, describes himself as being calm, confident and creative. He claims the most exciting moment of his life was his first plane ride ""when the world just opened up,"" and he's been traveling ever since. Godwin, a financial analyst, is the more ambitious of the two and is not afraid to take risks.
The brothers enjoy working out together and discussing new business ideas. Both men are well-traveled and enjoy the excitement that comes with visiting new places. The siblings are thrilled to have the chance to travel the globe, compete for a million dollars and do some brotherly bonding along the way.[1]
"
Eswar & Aparna,"[1]
Eswar Dhinakaran[] Eswar Dhinakaran
 24
 Fremont, California
 Software engineer and entrepreneur
 I'm building a product called Flow to make you more organized and intentful as you use the Internet.
 Impulsive, fast-learner, and empathetic.
 Playing basketball, playing tennis, cycling, reading, and watching movies.
 I didn't know how to swim until a couple years ago, but I was able to learn pretty quickly and am now comfortable surfing!
 My neck getting stiff from sleeping on an airplane.
 I love getting a glimpse into how other people's lives and how drastically different their lives can be while also similar in some of the most meaningful ways.
 Russia. The people seem pretty relaxed and friendly; there's a lot of great literature from Russia, super interesting history, and a lot of land to traverse.
 Hopefully, we can learn to work better together and understand how to deal with each other's flaws.
Aparna Dhinakaran[] Aparna Dhinakaran
 26
 Berkeley, California
 Engineer/entrepreneur
 I founded Arize AI to help troubleshoot, monitor, and explain artificial intelligence (AI). As our society becomes increasingly digitized, advances in AI are being adopted by businesses in every industry. I'm passionate about making AI successful, fair, and transparent as we rely on them. On a day-to-day, being an entrepreneur involves wearing a lot of hats and doing whatever I can to move our vision forward.
 Friendly, adventurous and ambitious.
 Playing tennis, writing in cute coffee shops, preparing for my Bollywood breakout, volunteering for feminist organizations, going out to dance with my friends, bothering my boyfriend for photoshoots, setting flight price alerts to jet off somewhere, hosting board game nights that involve lying, and of course watching CBS reality TV shows!
 Getting to be on ! I've had a dream to be on this show since I was eight years old. My brother and I grew up watching Race with our family. We were two Indian-American kids who didn't often see people like us on American reality TV shows. I remember when the race went to Chennai, India (our hometown) in Season 10, we were jumping up and down in our little living room because we were so excited to see The Amazing Race bring our culture to a mainstream American audience. I remember telling my dad that day, ""I'm going to be on The Amazing Race when I'm older."" I'm proud of myself for not just letting it be a pipe dream, but actually going to an open casting call, trying out, and making my childhood dream a reality!
 Being lost alone. Even in 2020, traveling alone as a woman requires some precautions.
 Trying out new cuisines! I'm a big foodie. I'm also excited to learn about new cultures and meet people from diverse backgrounds!
 Thailand. I love Thai food and I'd love to see the Buddhist and Hindu temples there.
 Making a childhood dream a reality is sweet, but getting to do that with your sibling is the cherry on top. I'm excited to spend more time with my brother! As we've gotten older, we don't see each other as often as I'd like to. He's a big blessing in my life and I'm excited to go on this adventure with him.
"
Ethan & Jenna,"[1]
Ethan[] 37
 New York, N.Y.
 Dating
 Change maker
 I travel the world inspiring people to take action and make a difference. I'm also a co-founder of the charity Grassroot Soccer, TV host, children's book author, soccer coach and inventor.
 I have the ability to see the ""good"" in every situation.
 ""Survivor,"" creative and athletic.
 Inventing new products, photography and jumping rope. More...
 Patrick Dempsey in ""Can't Buy Me Love.""
 Cookie Monster
 Crushing cancer!
 Bumping into my doppelganger.
 Finding a hidden spot, off the beaten path, hanging out with locals and playing in a pick-up soccer game.
 ESP and mental telepathy.
 She thinks that animals are real people and can understand what she is saying… I also kind of love it.
 Peru. I want to climb Machu Picchu.
 An amazing adventure and proving that there is life after cancer.
Jenna[] 30
 New York, N.Y.
 Dating
 TV host/student
 I'm a television host on a new show, ""Everyday Health."" I'm also getting a masters degree in psychology at Columbia.
 I'm a previous ""Survivor"" winner and a graduate student in psychology. Both can help.
 Hilarious, outgoing and honest.
 Horseback riding, reading, snorkeling, eating candy, playing Mario Brothers with my dad and the fitness program S Factor.
 No one. I'm an original!
 Adrian Grenier/Patrick Dempsey
 Winning  and completing my first half-marathon with Ethan.
 Nothing except for crying babies.
 Seeing new cultures and places.
 He's too goody-goody.
 I want to go to India and Egypt because I have never been.
 Time to bond and an adventure.
"
Flight Time & Big Easy,"


The Amazing Race 15The Amazing Race: Unfinished BusinessThe Amazing Race: All-Stars
Herbert Lang (32); Nathaniel Lofton (28)
 Brinkley, Ark. / New Orleans
 Harlem Globetrotters
 Teammates
Their athletic talent brought these two friends together five years ago when they met at the Harlem Globetrotters training camp. While getting to know each other, Herbert and Nathaniel discovered that their occupation and need to entertain others were not the only things they had in common.  They both live in Louisiana, have two children and shared the same college basketball coach.
Recently, Herb and Nate lost one of their best friends and teammate, Chris Richardson, who passed away in December — and both continue to struggle with that loss.  The three were commonly referred to as the ""three amigos"" throughout their inner circle.
Herbert believes he can get along with anyone on the planet and that he brings joy and laughter to all corners of the globe. Standing at 6'3,"" Herb is known among his colleagues as ""Flight Time.""  Nathaniel, who goes by the name ""The Big Easy,"" towers over the competition at 6'9,"" and admits to being worried that seating could present a problem on some of the flights.
Both have traveled extensively with the Globetrotters. Herbert has traveled to over 60 countries, and Nathaniel has traveled to over 30 countries. Despite their love of exploring new places, and their extensive knowledge of other countries, they're eager to see how well they can travel together when it is just the two of them.  

Even if their fancy footwork does not translate to winning the $1 million prize, they both are confident that their relationship will remain the same regardless of where they end up in the Race.[1]
Flight Time[]
 34
 Brinkley, Ark.
 Harlem Globetrotters/Teammate
 Professional Basketball player with the Harlem Globetrotters
 Season 15/4th place
 Trusting that Dan would keep his word.
 When Big Easy found the needle in the haystack for a first place finish on my birthday!
 Sweden and Vietnam because we came in first both times.
 Redemption—and to win it all!
 I haven't changed. I'm still the same.
 I am passionate about winning—and being with the Globetrotters for over 10 years, I've gotten used to it!
 That we didn't take either of the two trips we won on our season.
 Australia—I've been to 80 countries, but I've never been there.
 We always felt we are our biggest challenges. We determine how we do, not the other teams.
 We want to accomplish what we did last time. We want to run a good race and be an example to everyone that you don't have to be jerks to be competitive and do well.
 He snores like you wouldn't believe!
 Invest some and donate some to charity.
 None! Just win!

Big Easy[]
 30
 New Orleans, La.
 Harlem Globetrotters Teammate
 Professional Basketball player with the Harlem Globetrotters
 Season 15/4th place
 Over-thinking the game and not taking my time to concentrate.
 Winning first place for ""Flight Time"" on his birthday.
 Vietnam was my favorite place to visit because the people were awesome.
 I want to win!
 I'm way more relaxed now than I was the first time around.
 I'm passionate about my kids and my family.
 I am afraid of horror movies.
 I want to go to Australia because every Harlem Globetrotter says it is their favorite country and I want to see what the fuss is about.
 Hopefully, we won't face any really big challenges. We ran a good race last time and hopefully will do the same this time around.
 I want everyone to see that athletes can be great role models.
 He is too nice sometimes.
 I want to open a gym in the neighborhood where I grew up.

 I don't think so. I think we ran a great Race.[2]
Flight Time[]
 37
 Brinkley, Ark.
 Seasons 15 & 18
 Harlem Globetrotter
 I tour the world playing basketball.
 Didn't pay attention to detail.
 The slide with Canaan and Mika.
 Dubai
 I wanted to finally see if we could come in first place.
 I wouldn't say that I have changed at all.
 I am passionate about my kids and seeing people happy.
 How down to earth that, at least I think, I am.
 Bad luck
 His snoring, but I can handle it.
 I have been to over 90. No more really on my list.
 Just hope to do better than before.
 No

Big Easy[]
 33
 New Orleans, La.
 Seasons 15 & 18
 Harlem Globetrotter
 I entertain families around the world.
 Didn't pay attention to detail.
 The water slide in season 15
 Holland
 I haven't changed.
 Family
 I'm a quiet person.
 None
 Sometimes he's too nice… Lol!
 Dubai - beautiful city.
 Just want to enjoy the race.

 No change; respect the Race and have fun.[3]
"
Flo & Zach,"
“”

BioQ & A
New Yorkers Flo, 23, a public relations associate, and Zach, 23, a production assistant, have been good friends ever since they met five years ago in a cafeteria at Vassar College. While wearing a funny hat and a camouflage suit, Zach instantly caught Flo's eye. Although Flo and Zach have shared a mutual attraction for each other over the years, they've never pursued a romantic relationship.
One of their most memorable times together was when they were both bartending in college. Says Flo, ""We would go crazy making drinks for the whole bar, trying to be Tom Cruise in Cocktail. It was so fun to be silly with someone while working."" Ironically, one of the worst experiences they've ever had took place while they were working together. When a young girl became extremely ill from drinking too much, Flo and Zach had to rush her to the hospital. ""We had to deal with the EMS and it was a really scary situation,"" says Zach, who adds, ""It was reassuring to go through it with Flo.""
Although Flo and Zach are seasoned travelers, the couple has only shared one 24-hour trip together. This Team is convinced, however, that they have what it takes to come out on top. According to Zach, ""I am the logistics man. I'm good with directions, roughing it and keeping a cool head. Flo is very good at keeping things fun. She's also great at getting people to do things they might not otherwise do."" Flo and Zach are looking forward to seeing some great places during the Race, and hope the experience will bring them even closer together.

Flo's birth date is January 17. Zach's birth date is June 29.[1]


 Pretty extensive.
 I have traveled extensively in Europe (east and west), and have been to many other countries in South America. I've never been to Asia.


 Missing flights and getting stuck in traffic.
 After a while, I find it stressful to be on the move. But in general, I find travel to be very relaxing.


 My sunscreen—and my Tylenol—migraines and a sunburn would surely slow me down.
 Probably my two pairs of super high-tech underwear. They dry in seconds and make you run faster—very funny stuff.


 To see great places and to win some money.
 I wanted to be on THE AMAZING RACE to have the adventure of a lifetime and win a million bucks in the process.


 We've never traveled together before, except one 24-hour drive to Boston.
 Not really. One time we took a marathon, one-day trip from New York to Boston. It was rugged, but good training, I hope.


 No fears.
 My biggest fear of competing in THE AMAZING RACE 3 is probably getting lost in a jungle or desert. Either that, or losing in the first leg of the Race. But that won't happen.


 I am a great traveler. I get along well with others. I am also very competitive. The only weakness is that I love to go to sleep early, and often fall asleep in random places. I've also never really roughed it.
 I am the logistics man. I am good with directions, orienteering, roughing it and keeping a cool head. One of my weaknesses is that I am not as competitive as Flo.


 Zach is brilliant. He is really prepared and has great endurance. Also, he is not afraid to wear one pair of underwear the whole trip. His weakness: not competitive enough.
 Flo is very good at keeping things fun. She is also great at getting people to do things they might not otherwise do. But, she can't really drive stick and doesn't have much experience roughing it.


 My family.
 I'll miss my friends at home, the wolfpack, and my family.


 Italian, French, Spanish.
 Spanish, English, Czech.


 China.
 Rangoon and Ulan Bator, Mongolia.


 Italy, and any Spanish speaking country!
 Chile and Bolivia.
"
Fran & Barry,"
Barry & Fran have known each other for 45 years and have been married for over 40. The proud parents of two children, this adventure-loving couple makes their home in Summit County, Colorado. Although they travel a lot, the word ""vacation"" is not a frequently used term in their home. They prefer to refer to their trips around the world as ""adventure travel.""
Barry, who is 63 years old, thrives on challenging himself and loves to compete. A retired urologist and former battalion surgeon with the 173rd Airborne Brigade in Vietnam, Barry describes himself as outgoing and dependable. His biggest disappointment with regards to Fran was that she refused to bungee jump from a bridge in New Zealand. Although he does point out that she made good by agreeing to skydive.
Fran, who is 61 years old, is a retired accountant who describes herself as having a positive outlook on life. Fran enjoys skiing, biking, and hiking and has climbed all of Colorado's 54 14ers, which are the Colorado mountain peaks that exceed 14,000 feet. Fran admits that she's running THE AMAZING RACE to show that ""old people"" can compete just as well as most 25 year olds.
Having traveled to more than 45 countries together, these high school sweethearts are hoping their previous traveling experience will give them an advantage over the other Teams.[1][2]
"
Frank & Margarita,"[1]

When Frank and Margarita were teenagers, a mutual friend introduced them, and they hit it off right away. They've had fun traveling together before, because they both enjoy learning about people and experiencing other cultures. They auditioned for THE AMAZING RACE because their combined talents make them a strong Team: Frank is intelligent, level-headed and physically strong; Margarita is patient, intelligent and has a keen intuition. Although they've been separated for a year, they're considering getting back together, and see THE AMAZING RACE as an opportunity to find out how well they can work together.
Frank[] My daughter (if she could write!)
 Bed with lots of pillows
 Working out with free weights
 My daughter
 
 Lonely Planet
 
 Al Pacino
 Hillary Swank
 Hip Hop
Margarita[] My old best friend in California
 My daughter
 Playing with my daughter
 Any of my close friends or family
 
 
 
 Javier Bardem
 Juliette Binoche
 Hip Hop; R&B; Salsa
"
